time,commits_tot,pending_tx_rate,reject_tot,block_num_tot,msg_sent_rate,blocks_count,pending_tx_tot,tx_in_process_rate,rest_api_batch_rate,commits_rate,msg_receive_rate,tx_exec_rate,reject_rate,block_num_rate,test#
1620734640,2174.6666666666665,50.2166666666667,189.94444444444449,267.5,775.8,278.1666666666667,5394.0,1.8,11.329999999999927,15.711111111111084,4236.6,16.588888888888892,0.0,0.8,2
1620734650,2314.722222222222,50.2166666666667,189.94444444444449,274.77777777777777,718.2,285.3333333333333,5252.833333333333,1.2,7.960000000000036,14.005555555555564,4340.3,16.12777777777776,0.0,0.7277777777777772,2
1620734660,2464.3888888888887,50.2166666666667,189.94444444444449,283.0,835.0,293.55555555555554,5103.166666666667,1.7,4.739999999999964,14.96666666666665,4053.0,15.891666666666676,0.0,0.8222222222222229,2
1620734670,2618.722222222222,50.2166666666667,189.94444444444449,291.6666666666667,835.1,302.22222222222223,4947.833333333333,1.7,1.4200000000000728,15.433333333333348,4029.5,16.741666666666674,0.0,0.8666666666666686,2
1620734680,2820.1666666666665,50.2166666666667,189.94444444444449,298.94444444444446,874.4,309.5,4741.944444444444,1.5,0.0,20.144444444444435,4286.6,20.06111111111111,0.0,0.7277777777777772,2
1620734690,3065.4444444444443,50.2166666666667,189.94444444444449,304.8888888888889,867.6,315.3888888888889,4504.388888888889,5.2,0.0,24.527777777777786,4441.3,24.52222222222222,0.0,0.5944444444444457,2
1620734700,3319.8888888888887,50.2166666666667,189.94444444444449,310.05555555555554,823.5,320.55555555555554,4241.666666666667,5.2,0.0,25.44444444444444,4415.0,27.002777777777784,0.0,0.5166666666666628,2
1620734710,3579.277777777778,50.2166666666667,189.94444444444449,314.77777777777777,804.9,325.22222222222223,3990.555555555556,3.9,0.0,25.938888888888915,4315.9,28.18611111111113,0.0,0.4722222222222229,2
1620734720,3837.3888888888887,50.2166666666667,189.94444444444449,319.44444444444446,753.6,329.94444444444446,3729.5,3.9,0.0,25.811111111111085,4109.1,27.436111111111085,0.0,0.4666666666666685,2
1620734730,4071.0,50.2166666666667,189.94444444444449,323.77777777777777,742.6,334.3333333333333,3498.833333333333,11.0,0.0,23.36111111111113,4123.9,26.45,0.0,0.4333333333333314,2
1620734740,4326.611111111111,50.2166666666667,189.94444444444449,328.1666666666667,746.5,338.77777777777777,3241.3888888888887,11.0,0.0,25.56111111111113,4165.2,26.63611111111113,0.0,0.4388888888888914,2
1620734750,4567.5,50.2166666666667,189.94444444444449,332.6111111111111,726.0,343.05555555555554,2999.277777777778,11.0,0.0,24.088888888888867,4017.0,25.98611111111109,0.0,0.44444444444444,2
1620734760,4800.722222222223,50.2166666666667,189.94444444444449,336.55555555555554,694.2,346.8333333333333,2763.555555555556,11.0,0.0,23.322222222222265,4316.8,25.025,0.0,0.3944444444444457,2
1620734770,5052.777777777777,50.2166666666667,189.94444444444449,340.77777777777777,765.2,351.1111111111111,2513.9444444444443,9.3,0.0,25.205555555555478,4063.1,26.252777777777784,0.0,0.4222222222222228,2
1620734780,5335.944444444444,50.2166666666667,189.94444444444449,345.0,797.0,355.1666666666667,2230.1666666666665,9.3,0.0,28.3166666666667,4019.6,28.536111111111133,0.0,0.4222222222222228,2
1620734790,5487.055555555556,50.2166666666667,189.94444444444449,348.1111111111111,499.6,358.44444444444446,2079.222222222222,9.3,0.0,15.111111111111132,4148.8,22.830555555555566,0.0,0.3111111111111085,2
1620734800,5627.722222222223,50.2166666666667,189.94444444444449,352.3888888888889,546.4,362.72222222222223,1940.7222222222224,9.3,0.0,14.066666666666697,4211.4,15.4,0.0,0.4277777777777828,2
1620734810,5803.722222222223,50.2166666666667,189.94444444444449,359.72222222222223,852.0,370.3888888888889,1763.611111111111,2.4,6.139999999999963,17.6,3518.4,17.058333333333348,0.0,0.7333333333333314,2
1620734820,5995.0,50.2166666666667,189.94444444444449,368.1666666666667,876.1,378.6111111111111,1573.5555555555557,2.4,0.0,19.127777777777737,3490.7,19.97777777777774,0.0,0.8444444444444457,2
1620734830,6163.111111111111,50.2166666666667,189.94444444444449,376.05555555555554,824.7,386.55555555555554,1406.7222222222222,0.4,0.0,16.81111111111113,3207.6,19.175,0.0,0.7888888888888858,2
